exac_id,name
amnhp_1000320,"Butler, W. H."
amnhp_1000321,"Buxton, N. G. (Norman G.)"
amnhp_1000322,"Byrd, Richard Evelyn, 1888-1957"
amnhp_1000323,"Cabranes, José A."
amnhp_1000324,"Cahill, Linda"
amnhp_1000325,"Calder, Louis"
amnhp_1000326,"Calkins, Gary N. (Gary Nathan), 1869-"
amnhp_1000327,"Calvert, Philip Powell, 1871-"
amnhp_1000328,"Cameron, Charlotte, -1946"
amnhp_1000329,"Cammann, Nora"
amnhp_1000330,"Camp, Charles Lewis, 1893-1975"
amnhp_1000331,"Campbell, Felicity"
amnhp_1000332,"Campbell, G. F."
amnhp_1000333,"Campbell, Joseph, 1904-1987"
amnhp_1000334,"Campbell, William Durant, 1907-1995"
amnhp_1000335,"Cannon, Annie Jump, 1863-1941"
amnhp_1000336,"Capitan, L. (Louis), 1854-1929"
amnhp_1000337,"Capps, Stephen Reid, 1881-"
amnhp_1000338,"Caravia, E."
amnhp_1000339,"Carey, Madeleine A."
amnhp_1000340,"Carlisle, G. Lister"
amnhp_1000341,"Carneiro, Robert L. (Robert Leonard), 1927-"
amnhp_1000342,"Carnochan, Frederic Grosvenor, 1890-1952"
amnhp_1000343,"Carpenter, Charles H."
amnhp_1000344,"Carpenter, Edmund Snow, 1922-"
amnhp_1000345,"Carpenter, James M. (James Michael), 1956-"
amnhp_1000346,"Carr, Archie, 1909-1987"
amnhp_1000347,"Carr, Marion B."
amnhp_1000348,"Carr, William H. (William Henry), 1902-1985"
amnhp_1000349,"Cartailhac, Emile, 1845-1921"
amnhp_1000350,"Carter, T. Donald (Thomas Donald), 1893-"
amnhp_1000351,"Carver, George Washington, 1864?-1943"
amnhp_1000352,"Cary, Frank T."
amnhp_1000353,"Cary, William de la Montagne, 1840-1922"
amnhp_1000354,"Casanowicz, Immanuel M."
amnhp_1000355,"Casebeer, Richard S."
amnhp_1000356,"Cassidy, Asa"
amnhp_1000357,"Cassidy, Martin W."
amnhp_1000358,"Casson, Lionel, 1914-2009"
amnhp_1000359,"Cate, Crawford Neill"
amnhp_1000360,"Cate, Jean"
amnhp_1000361,"Catlin, George, 1796-1872"
amnhp_1000362,"Cattell, James McKeen, 1860-1944"
amnhp_1000363,"Cattell, Jaques, 1904-1960"
amnhp_1000364,"Cattell, Owen"
amnhp_1000365,"Caufield, Marie"
amnhp_1000366,"Cazier, Mont A."
amnhp_1000367,"Ceram, C. W., 1915-1972"
amnhp_1000368,"Cernosvitov, Lev, 1902- "
amnhp_1000369,"Chamberlain, Joseph Miles"
amnhp_1000370,"Chambers, Kenneth A."
amnhp_1000371,"Chapin, James Paul, 1889-1964"
amnhp_1000372,"Chapman, Charles Shepherd, 1879-1962"
amnhp_1000373,"Chapman, Frank M. (Frank Michler), 1864-1945"
amnhp_1000374,"de Chardin, Rev. Pierre Teilhard"
amnhp_1000375,"Charmatz, Richard, 1936-"
amnhp_1000376,"Chartrand, Mark R."
amnhp_1000377,"Cherrie, George Kruck"
amnhp_1000378,"Cherrie, Linda"
amnhp_1000379,"Chiappe, Luis M."
amnhp_1000380,"Chigodora, Sylvester"
amnhp_1000381,"Childs, George Henshaw, 1891-1963"
amnhp_1000382,"Choate, Joseph H."
amnhp_1000383,"Christman, Erwin S., 1885-1921"
amnhp_1000384,"Chubb, S. Harmsted (Samuel Harmsted), 1863-1949"
amnhp_1000385,"Clapp, W. F. (William Frederick)"
amnhp_1000386,"Clark, Austin Hobart, 1880-1954"
amnhp_1000387,"Clark, Benjamin S."
amnhp_1000388,"Clark, Eugenie"
amnhp_1000389,"Clark, Harold B."
amnhp_1000390,"Clark, Hubert Lyman, 1870-1947"
amnhp_1000391,"Clark, James L. (James Lippitt), 1883-1969"
amnhp_1000392,"Clark, Sally, 1883-1981"
amnhp_1000393,"Clarke, Caspar Purdon, Sir, 1846-1911"
amnhp_1000394,"Clausen, Lucy Wilhelmine, 1909-"
amnhp_1000395,"Clayton, Henry Helm, 1861-1946"
amnhp_1000396,"Clem, Robert Verity"
amnhp_1000397,"Clench, William James, 1897-1984"
amnhp_1000398,"Coates, Christopher W. (Christopher William)"
amnhp_1000399,"Cockerell, Theodore D. A. (Theodore Dru Alison), 1866-1948"
amnhp_1000400,"Coe, Ralph T."
amnhp_1000401,"Coe, William Robertson, 1869-1955"
amnhp_1000402,"Coffee, Thomas"
amnhp_1000403,"Coggeshall, Arthur"
amnhp_1000404,"Cohn-Wiener, Ernst, 1882-1941"
amnhp_1000405,"Colbert, Edwin H. (Edwin Harris), 1905-2001"
amnhp_1000406,"Colbert, Margaret"
amnhp_1000407,"Cole, Charles J."
amnhp_1000408,"Cole, James E."
amnhp_1000409,"Coleman, A. P. (Arthur Philemon), 1852-1939"
amnhp_1000410,"Coleman, Laurence Vail, 1893-1982"
amnhp_1000411,"Coleman, Sylvan C."
amnhp_1000412,"Coles, Robert R."
amnhp_1000413,"Coles, Russell J."
amnhp_1000414,"Colgate, Robert"
amnhp_1000415,"Collier, Donald, 1911-1995"
amnhp_1000416,"Collins, Alfred M."
amnhp_1000417,"Collins, Henry Hill, 1905-1961"
amnhp_1000418,"Colt, S. Sloan"
amnhp_1000419,"Comer, George"
amnhp_1000420,"Comstock, John Henry, 1849-1931"
amnhp_1000421,"Comstock, William Phillips"
amnhp_1000422,"Conant, Roger, 1909-2003"
amnhp_1000423,"Conklin, Barbara"
amnhp_1000424,"Conklin, Edwin Grant, 1863-1952"
amnhp_1000425,"Connors, Joseph P."
amnhp_1000426,"Conrad, George Miles, 1911-1964"
amnhp_1000427,"Coscarón, Sixto"
amnhp_1000428,"Constable, James M."
amnhp_1000429,"Contini, Victor M."
amnhp_1000430,"Cook, Frederick Albert, 1865-1940"
amnhp_1000431,"Cook, Harold J. (Harold James), 1887-1962"
amnhp_1000432,"Cooke, John A. L."
amnhp_1000433,"Cooke, Richard H."
amnhp_1000434,"Coolidge, Dane, 1873-1940"
amnhp_1000435,"Coomaraswamy, Ananda Kentish, 1877-1947"
amnhp_1000436,"Coon, Carleton S. (Carleton Stevens), 1904-1981"
amnhp_1000437,"Cooney, Harry P."
amnhp_1000438,"Cooper, Madeline L."
amnhp_1000439,"Cope, E. D. (Edward Drinker), 1840-1897"
amnhp_1000440,"Copulos, Milton D."
amnhp_1000441,"Corbet, A. Steven (Alexander Steven), 1896-1948"
amnhp_1000442,"Corbett, Jim, 1875-1955"
amnhp_1000443,"Correia, José G., 1881-1954"
amnhp_1000444,"Corwin, Charles"
amnhp_1000445,"Cottar, Charles"
amnhp_1000446,"Cottar, Michael"
amnhp_1000447,"Coultas, William F."
amnhp_1000448,"Couper, William, 1853-1942"
amnhp_1000449,"Cowles, Henry Chandler, 1869-1939"
amnhp_1000450,"Cox, Walter I., 1866-1930"
amnhp_1000451,"Coxey, W. Judson"
amnhp_1000452,"Cracraft, Joel"
amnhp_1000453,"Cramer, Seward S."
amnhp_1000454,"Crampton, Henry Edward, 1875-1956"
amnhp_1000455,"Crandall, Lee S. (Lee Saunders), 1887-1969"
amnhp_1000456,"Crane, Jocelyn"
amnhp_1000457,"Crawbuck, George A., Jr."
amnhp_1000458,"Crawford, M.D.C (Morris De Camp), 1882-1949"
amnhp_1000459,"Crawford, Osbert Guy Stanhope, 1886-1957"
amnhp_1000460,"Creighton, William Steel"
amnhp_1000461,"Cresson, E. T. (Ezra Townsend), 1838-1926"
amnhp_1000462,"Crocker, Templeton, 1884-1948"
amnhp_1000463,"Croft, Richard G."
amnhp_1000464,"Crompton, Alfred W."
amnhp_1000465,"Cronau, Rudolf, 1855-1939"
amnhp_1000466,"Crosby, Maunsell Schieffelin, 1887-1931"
amnhp_1000467,"Cross, Charles Whitman"
amnhp_1000468,"Culin, Stewart, 1858-1929"
amnhp_1000469,"Cullman, Joseph F. (Joseph Frederick), 1912-2004"
amnhp_1000470,"Cummings, Willard Warren, 1915-1975"
amnhp_1000471,"Cunningham, Ann Marie"
amnhp_1000472,"Curie, Marie, 1867-1934"
amnhp_1000473,"Curran, Charles Howard, 1894-1972"
amnhp_1000474,"Curtis, Edward S., 1868-1952"
amnhp_1000475,"Cushman, Joseph A. (Joseph Augustine), 1881-1949"
amnhp_1000476,"Cutting, C. Suydam (Charles Suydam), 1889-1972"
amnhp_1000477,"Cutting, Robert Fulton"
amnhp_1000478,"Cuvier, Georges, baron, 1769-1832"
amnhp_1000480,"Cuyler, Cornelius C."
amnhp_1000481,"Cuyler, Thomas Dewitt"
amnhp_1000482,"Cypher, Irene F."
amnhp_1000483,"Dahlgren, B. E. (Bror Eric), 1877-1961"
amnhp_1000484,"Dale, George"
amnhp_1000485,"Bstan-ʼdzin-rgya-mtsho, Dalai Lama XIV, 1935-"
amnhp_1000486,"Dall, William Healey, 1845-1927"
amnhp_1000487,"Dalland, John L."
amnhp_1000488,"Dallas, Michael"
amnhp_1000489,"D'Almeida, Romualdo Ferreira"
amnhp_1000490,"Daly, John W."
amnhp_1000491,"Daly, Reginald Aldworth, 1871-1957"
amnhp_1000492,"Daly, Robert J."
amnhp_1000493,"Dana, Rosamond Wild (Mondy)"
